text,intent
Привет как дела,greeting
Здравствуйте рад вас видеть,greeting
Доброе утро,greeting
Хай давно не виделись,greeting
Здарова как жизнь,greeting
Добрый вечер чем занимаешься,greeting
Салют есть новости,greeting
Здравствуйте извините за беспокойство,greeting
Приветик ты тут,greeting
Йо братан как оно,greeting
Доброго времени суток коллеги,greeting
Хэллоу можно вопрос,greeting
Приветствую начальник,greeting
Здрасте я по делу,greeting
О привет а я тебя ищу,greeting
Добрый день подскажите пожалуйста,greeting
Хай хай как настроение,greeting
Здорово что ты онлайн,greeting
Привет привет не ожидал тебя тут увидеть,greeting
Здравствуйте соедините меня с отделом продаж,greeting
Салам алейкум мир вашему дому,greeting
Доброе утро кофе будешь,greeting
Вечер в хату как дела,greeting
Привет это снова я,greeting
Здравствуйте я по записи,greeting
Хай есть минутка поговорить,greeting
Дратути как сам,greeting
Привет я вернулся,greeting
Здравствуйте меня зовут Алексей,greeting
О это ты привет,greeting
Доброго здоровья бабушка,greeting
Приветствую всех участников чата,greeting
Здарова заходи в гости,greeting
Хеллоу это Джон из службы поддержки,greeting
Добрый день вы мне звонили,greeting
Привет как самочувствие,greeting
Здравствуйте я хочу сделать заказ,greeting
Салют погнали играть,greeting
Хай соскучился,greeting
Привет прием слышно меня,greeting
Пока до свидания,farewell
До встречи,farewell
Удачи,farewell
Всего хорошего,farewell
Давай прощай,farewell
Счастливо,farewell
До завтра,farewell
Покеда,farewell
Бывай,farewell
До скорого,farewell
Увидимся позже,farewall
Всего доброго,farewell
Спокойной ночи,farewell
Ладно я пошел пока,farewell
До связи,farewell
Чао,farewell
Аривидерчи,farewell
Пока пока,farewell
Прощайте,farewell
Разрешите откланяться,farewell
Ну всё отключаюсь,farewell
До вечера,farewell
Счастливого пути,farewell
Будь здоров,farewell
Хорошего дня,farewell
Ну давай не болей,farewell
Удачи тебе во всем,farewell
Всем пока я выхожу,farewell
До скорой встречи,farewell
Еще увидимся,farewell
Гуд бай,farewell
Отключаюсь всем спасибо за внимание,farewell
Пока удачной охоты,farewell
До завтра на работе,farewell
Ну всё отбой,farewell
Ладно погнал пока,farewell
До связи хорошего вечера,farewall
Салют пока,farewell
До свидания спасибо за помощь,farewell
Пока не скучай,farewell
Чао какао,farewell
Как погода на улице,weather
Скажи прогноз погоды на завтра,weather
Что там за окном,weather
Будет ли дождь сегодня вечером,weather
Какая температура в Москве,weather
Погода на неделю,weather
На улице холодно одеваться тепло,weather
Есть ли ветер,weather
Прогноз на выходные,weather
Сколько градусов сейчас,weather
Пойдет снег,weather
Какая погода будет через час,weather
Надо брать зонт,weather
Синоптики что говорят,weather
Погода в Питере сегодня,weather
Жарко ли там,weather
Будет ли гроза,weather
Какое сейчас атмосферное давление,weather
Узнай погоду пожалуйста,weather
Солнечно или пасмурно,weather
Какая влажность воздуха,weather
Тепло ли на юге,weather
Что обещают синоптики на завтра,weather
Погода на сегодня подробно,weather
Будет ли гололед,weather
Когда закончится дождь,weather
Стоит ли ждать ураган,weather
Какая погода в Европе сейчас,weather
Морозно ли сегодня утром,weather
Погода в моем городе,weather
Покажи карту осадков,weather
Есть ли дождь,weather
Высокий ли ультрафиолетовый индекс,weather
Снег растаял,weather
Туман сильный,weather
Град будет,weather
Температура воды в море,weather
Прогноз для рыбаков,weather
Магнитные бури сегодня,weather
Во сколько сегодня закат,weather
Как дела,how_are_you
Как настроение,how_are_you
Как жизнь,how_are_you
Как сам,how_are_you
Что нового,how_are_you
Как поживаешь,how_are_you
Какие новости,how_are_you
Как самочувствие,how_are_you
Ну как ты,how_are_you
Как оно,how_are_you
Что слышно,how_are_you
Как успехи,how_are_you
Как делишки,how_are_you
Чем занимаешься,how_are_you
Как продвигается работа,how_are_you
Как настроение после выходных,how_are_you
Ты в порядке,how_are_you
Все ли хорошо,how_are_you
Как твои дела сегодня,how_are_you
Что интересного произошло,how_are_you
Как вы себя чувствуете,how_are_you
Как тебе быть ботом,how_are_you
Ну как жить то как,how_are_you
Как обычно грустишь или радуешься,how_are_you
Расскажи как прошел день,how_are_you
Что новенького в мире,how_are_you
Как настроение с утра,how_are_you
Ты как вообще,how_are_you
Жизнь как,how_are_you
Как самочуйствие,how_are_you
Как оно там у тебя,how_are_you
Что делаешь,how_are_you
Какие планы,how_are_you
Как идут дела на фронте,how_are_you
Как жизнь молодая,how_are_you
Ну шо как ты,how_are_you
Как здоровье,how_are_you
Как твое ничего,how_are_you
Что по настроению,how_are_you
Как прошел отпуск,how_are_you
Который час,time
Скажи сколько времени,time
Точное время сейчас,time
Во сколько,time
Какое сегодня число и время,time
Сколько сейчас времени в Москве,time
Текущее время,time
Который час в Новосибирске,time
Сколько времени на часах,time
Назови дату и время,time
Когда будет полночь,time
Во сколько мне вставать,time
Который час в Нью Йорке,time
Сколько осталось до конца дня,time
Точное время с секундами,time
Какая сейчас дата,time
Время в Лондоне сейчас,time
Сколько сейчас по Гринвичу,time
Во сколько начинается вечер,time
Который час дня,time
Покажи на циферблате,time
Сколько времени будет через два часа,time
Часы сколько показывают,time
Дата сегодняшнего дня,time
В каком мы часу,time
Сколько сейчас идёт времени,time
Назови время,time
Который час в Екатеринбурге,time
Календарь и время,time
Сколько сейчас длится день,time
Во сколько заканчивается рабочий день,time
Время в моем часовом поясе,time
Точное московское время,time
Какое сегодня число недели,time
Сколько времени я здесь нахожусь,time
Во сколько наступит утро,time
Назови текущий год,time
Сколько осталось до полуночи,time
Который час по местному времени,time
Сколько сейчас времени скажи,time
